Group.1	year	month	Almaty	Andizhan	Ashbagat	Bairam.ali	Baityk	Chardzhou	Charvak	Dzhizak	Fergana	Kattakurgan	Leninabad	Namangan	Naryn	Osh	Panfilov	Przhevalsk	Rybache	Samarkand	Serahs	Tashkent	Termez
1921	1921	6.5	6.60833333333333	11.6583333333333	15.75	15.3583333333333	5.21666666666667	15.3166666666667	11.125	13.7166666666667	11.6916666666667	12.8583333333333	13.3416666666667	12.4833333333333	1.95833333333333	9.61666666666667	8.74166666666667	4.375	6.15	12.9916666666667	16.5083333333333	12.2	16.3416666666667
1922	1922	6.5	7.89166666666667	13.3	17.1583333333333	15.8666666666667	6.1	16.3833333333333	13.0666666666667	15.2583333333333	13.45	13.9416666666667	15	14.2166666666667	3.45	11.0666666666667	10.3666666666667	5.30833333333333	7.125	13.9583333333333	17.325	13.9916666666667	17.6333333333333
1923	1923	6.5	7	12.1166666666667	15.75	14.8416666666667	5.56666666666667	15.25	11.7333333333333	14.075	12.125	12.825	13.7416666666667	12.975	2.35	10	9.81666666666667	5.15	6.525	12.675	16.225	12.7916666666667	16.425
1924	1924	6.5	7.36666666666667	12.5833333333333	15.925	15.1083333333333	5.99166666666667	15.55	12.1333333333333	13.9416666666667	12.775	12.5833333333333	13.9916666666667	13.55	2.4	10.45	10.0916666666667	5.525	6.76666666666667	12.8916666666667	16.45	12.9083333333333	16.575
1925	1925	6.5	8.21666666666667	12.7666666666667	16.8583333333333	16.1833333333333	7.18333333333333	16.4666666666667	12.9833333333333	14.85	12.875	13.5	14.6166666666667	13.9916666666667	2.95	10.7666666666667	10.25	5.15	7.23333333333333	13.775	17.4	13.5083333333333	17.375
1926	1926	6.5	7.53333333333333	12.8666666666667	16.1083333333333	15.2833333333333	6.775	15.8833333333333	12.3166666666667	14.3916666666667	13.075	13.2916666666667	14.2916666666667	13.75	3.26666666666667	10.7416666666667	10.075	5.45833333333333	7.1	13.25	16.675	13.0583333333333	16.575
1927	1927	6.5	7.75	12.8416666666667	15.9916666666667	15.5333333333333	6.725	15.775	12.525	14.2833333333333	12.9	13.025	14.2083333333333	13.55	3.525	10.7	9.74166666666667	5.125	7.11666666666667	13.5333333333333	16.7666666666667	13.0416666666667	16.6416666666667
1928	1928	6.5	6.675	11.825	14.8833333333333	14.9	6.00833333333333	15.0666666666667	11.5166666666667	13.1416666666667	11.8833333333333	12.6333333333333	13.4333333333333	12.6083333333333	1.825	10.125	8.83333333333333	4.49166666666667	6.325	12.8083333333333	16.0333333333333	12.3583333333333	16.225
1929	1929	6.5	6.10833333333333	11.425	14.4833333333333	14.3	5.8	14.0416666666667	11.3083333333333	12.4083333333333	11.8083333333333	11.675	12.6333333333333	12.175	1.43333333333333	9.55	8.7	4.26666666666667	6.04166666666667	12.5083333333333	15.4583333333333	11.7083333333333	15.8333333333333
1930	1930	6.5	6.7	11.3	15.0916666666667	14.525	6.025	14.875	11.4583333333333	13.125	11.625	11.4583333333333	13.2333333333333	11.9416666666667	2.1	9.31666666666667	9.275	4.54166666666667	6.30833333333333	12.75	15.8	11.85	16.175
1931	1931	6.5	6.61666666666667	11.9416666666667	14.4916666666667	14.3	5.93333333333333	14.7	11.2166666666667	13.575	12.1666666666667	12.6166666666667	13.1666666666667	12.6166666666667	1.90833333333333	9.96666666666667	8.59166666666667	5.04166666666667	6.75833333333333	12.675	15.6166666666667	11.875	15.9166666666667
1932	1932	6.5	7.50833333333333	12.0333333333333	15.2833333333333	14.7583333333333	6.55	15.25	11.625	13.7333333333333	12.2583333333333	12.325	13.6333333333333	12.625	2.36666666666667	9.84166666666667	9.58333333333333	5.01666666666667	6.75833333333333	12.7916666666667	16.0583333333333	12.3	15.9083333333333
1933	1933	6.5	7.33333333333333	12.3416666666667	15.875	15.125	6.93333333333333	15.6916666666667	12.1083333333333	13.9166666666667	12.8666666666667	12.3083333333333	13.7333333333333	12.9166666666667	2.54166666666667	10.2666666666667	9.875	5.10833333333333	6.9	13.1666666666667	16.4333333333333	12.4916666666667	16.4666666666667
1934	1934	6.5	6.01666666666667	11.3416666666667	14.5416666666667	14	4.98333333333333	14.6166666666667	10.5333333333333	12.7333333333333	11.6666666666667	11.55	12.7416666666667	11.9666666666667	0.325	8.9	8.95	3.71666666666667	5.7	11.8666666666667	15.35	11.4333333333333	15.7083333333333
1935	1935	6.5	6.35	11.5416666666667	16.025	14.6666666666667	5.59166666666667	15.4666666666667	11.1083333333333	13.475	11.9583333333333	12.75	12.9916666666667	12.2	1.29166666666667	9.54166666666667	9.20833333333333	4.01666666666667	6.18333333333333	12.7333333333333	16.6333333333333	12.0083333333333	16.3583333333333
1936	1936	6.5	6.64166666666667	12.1	16.4166666666667	15.325	5.85833333333333	15.9083333333333	11.6916666666667	14.5416666666667	12.3916666666667	12.9416666666667	13.6	12.6	1.15833333333333	9.91666666666667	9.16666666666667	4.16666666666667	5.98333333333333	13.9416666666667	17.1083333333333	12.7333333333333	16.8083333333333
1937	1937	6.5	5.825	11.4166666666667	15.9	14.7083333333333	5.46666666666667	15.0666666666667	11.2166666666667	13.5333333333333	11.8083333333333	12.1833333333333	12.775	12.6166666666667	1.79166666666667	9.75	7.85833333333333	3.975	5.91666666666667	13.275	15.775	12.05	15.8333333333333
1938	1938	6.5	7.64166666666667	13.1666666666667	16.9	15.9	6.95	16.125	12.7583333333333	14.925	13.3333333333333	13.2916666666667	14.025	14.4083333333333	3.025	10.8833333333333	9.74166666666667	4.74166666666667	6.79166666666667	13.5416666666667	17.0833333333333	13.4083333333333	16.775
1939	1939	6.5	8.04166666666667	12.9583333333333	17.075	15.9416666666667	7.21666666666667	16.4166666666667	12.9166666666667	15.375	13.3416666666667	13.9333333333333	15.1083333333333	14.125	3.63333333333333	10.8833333333333	10.1666666666667	5.00833333333333	7.21666666666667	13.9333333333333	17.4	13.7	17.0333333333333
1940	1940	6.5	8.5	13.6666666666667	17.4583333333333	16.85	7.65833333333333	16.975	13.5083333333333	16	13.8666666666667	14.45	15.5083333333333	14.8083333333333	3.99166666666667	11.5833333333333	11.05	5.11666666666667	7.08333333333333	14.4833333333333	18.1416666666667	14.1916666666667	17.7
1941	1941	6.5	9.23333333333333	13.925	17.7833333333333	17.0333333333333	8.05833333333333	17.3916666666667	13.65	16.2416666666667	14.2916666666667	14.8	15.8166666666667	14.8833333333333	4.2	12.05	12.0916666666667	6.05833333333333	8.10833333333333	14.9166666666667	18.375	14.525	18.025
1942	1942	6.5	7.15833333333333	13.175	16.975	16.2	6.64166666666667	16.275	12.45	14.55	13.1083333333333	13.975	14.3666666666667	14.1666666666667	3.30833333333333	10.8333333333333	9.55833333333333	5.25	7.33333333333333	13.7916666666667	17.5083333333333	13.225	17.2
