	date	ws	wd
316	13.11.2013	11	237
317	14.11.2013	8.1	264
318	15.11.2013	5	255
319	16.11.2013	4.4	202
320	17.11.2013	6.4	178
321	18.11.2013	8.9	238
322	19.11.2013	14	222
323	20.11.2013	9.4	247
324	21.11.2013	7.1	278
325	22.11.2013	8.1	259
326	23.11.2013	7.2	262
327	24.11.2013	3	267
328	25.11.2013	4.5	265
329	26.11.2013	1.9	233
330	27.11.2013	3.5	146
331	28.11.2013	4	214
332	29.11.2013	5.6	194
333	30.11.2013	8	213
334	01.12.2013	9	233
335	02.12.2013	3.9	240
336	03.12.2013	7.1	232
337	04.12.2013	12	210
338	05.12.2013	4.4	152
339	06.12.2013	12	219
340	07.12.2013	10	221
341	08.12.2013	5.4	199
342	09.12.2013	2.6	243
343	10.12.2013	4.4	146
344	11.12.2013	4.9	215
345	12.12.2013	3.2	44
346	13.12.2013	7.7	281
347	14.12.2013	18	240
348	15.12.2013	12	202
349	16.12.2013	6.9	200
350	17.12.2013	9.2	202
351	18.12.2013	8.4	213
352	19.12.2013	6	210
353	20.12.2013	11	220
354	21.12.2013	6.2	257
355	22.12.2013	5.6	288
356	23.12.2013	2.9	226
357	24.12.2013	5.9	173
358	25.12.2013	2.9	165
359	26.12.2013	7.6	185
360	27.12.2013	3.1	163
361	28.12.2013	4.1	221
362	29.12.2013	8.9	228
363	30.12.2013	10	254
364	31.12.2013	7.1	259
			
			
