date	ws	wd
13.05.2016	8.2	216
14.05.2016	5	296
15.05.2016	7.6	48
16.05.2016	4.7	48
17.05.2016	2.4	32
18.05.2016	2.2	317
19.05.2016	2.1	226
20.05.2016	1.2	111
21.05.2016	4	142
22.05.2016	3.6	117
23.05.2016	3.2	101
24.05.2016	4.1	104
25.05.2016	2.7	22
26.05.2016	2.7	336
27.05.2016	1.5	293
28.05.2016	3.5	283
29.05.2016	4	28
30.05.2016	4.9	308
31.05.2016	4.2	335
01.06.2016	3.7	317
02.06.2016	2.2	356
03.06.2016	3.7	109
04.06.2016	5.5	134
05.06.2016	7.5	221
06.06.2016	4.4	268
07.06.2016	1.5	115
08.06.2016	4.7	33
09.06.2016	2.6	327
10.06.2016	2.6	334
11.06.2016	4.6	74
12.06.2016	7.2	177
13.06.2016	8.1	215
14.06.2016	7.7	266
15.06.2016	4.9	289
16.06.2016	2.1	300
17.06.2016	3.9	289
18.06.2016	5	309
19.06.2016	5.2	313
20.06.2016	3.2	329
21.06.2016	3.1	6
22.06.2016	2.6	25
23.06.2016	2.4	272
24.06.2016	1.9	174
25.06.2016	2.6	127
26.06.2016	5.4	267
27.06.2016	5.6	279
28.06.2016	7.5	205
29.06.2016	5.9	250
30.06.2016	7.6	255
01.07.2016	6.7	268
02.07.2016	3.7	285
03.07.2016	3.9	313
04.07.2016	3.9	295
05.07.2016	3.4	288
06.07.2016	3.4	291
07.07.2016	2.7	254
08.07.2016	3.7	299
09.07.2016	2.5	311
10.07.2016	2.5	250
11.07.2016	1.6	41
12.07.2016	3.2	104
13.07.2016	6.4	188
14.07.2016	3.5	268
15.07.2016	5.6	247
16.07.2016	4.6	263
17.07.2016	3.2	323
18.07.2016	3.6	351
19.07.2016	3.6	32
20.07.2016	3.4	352
21.07.2016	4.5	16
22.07.2016	4.9	14
23.07.2016	3.2	326
24.07.2016	4	304
25.07.2016	4.1	303
26.07.2016	4	36
27.07.2016	3.5	21
28.07.2016	3.5	30
29.07.2016	0.7	354
30.07.2016	3.5	275
31.07.2016	3	309
01.08.2016	3.2	26
02.08.2016	1.4	151
03.08.2016	2.7	236
04.08.2016	2	88
05.08.2016	2	165
06.08.2016	2.4	310
07.08.2016	4.6	311
08.08.2016	2.5	286
09.08.2016	2.7	302
10.08.2016	2.1	54
11.08.2016	2.4	100
12.08.2016	2.9	74
13.08.2016	4	71
14.08.2016	2.5	64
15.08.2016	2	343
16.08.2016	3.1	258
17.08.2016	2.4	46
18.08.2016	2.7	51
19.08.2016	1.9	345
20.08.2016	3.1	18
21.08.2016	2.4	45
22.08.2016	1.5	48
23.08.2016	1.6	172
24.08.2016	1.4	208
25.08.2016	1.2	277
26.08.2016	3.1	254
27.08.2016	3.4	238
28.08.2016	3.5	294
29.08.2016	5.7	250
30.08.2016	6.6	299
31.08.2016	4	249
01.09.2016	4	230
02.09.2016	6.9	141
03.09.2016	6.9	143
04.09.2016	4.2	202
05.09.2016	4.7	237
06.09.2016	2.2	252
07.09.2016	3.4	248
08.09.2016	3.2	144
09.09.2016	2.7	244
10.09.2016	6.7	212
11.09.2016	4.4	331
12.09.2016	6.1	209
13.09.2016	3.5	226
14.09.2016	5.5	175
15.09.2016	5.2	177
16.09.2016	5.5	162
17.09.2016	5.6	246
18.09.2016	2	166
19.09.2016	4	172
20.09.2016	2.6	268
21.09.2016	2.5	293
22.09.2016	1.5	96
23.09.2016	3	82
24.09.2016	2.4	68
25.09.2016	3	74
26.09.2016	1.5	109
27.09.2016	2.4	117
28.09.2016	2.5	98
29.09.2016	2.4	122
30.09.2016	4.2	84
01.10.2016	2.7	355
02.10.2016	3.5	256
03.10.2016	4.5	282
04.10.2016	2.2	288
05.10.2016	3.5	129
06.10.2016	7	265
07.10.2016	5.2	330
08.10.2016	2.4	281
09.10.2016	4.4	150
10.10.2016	3.9	272
11.10.2016	2.6	104
12.10.2016	2	355
13.10.2016	3	3
14.10.2016	7.2	234
15.10.2016	4.4	302
16.10.2016	2.4	15
17.10.2016	2.5	58
18.10.2016	2	120
19.10.2016	4.9	227
20.10.2016	3.9	286
21.10.2016	2.5	355
22.10.2016	2.1	6
23.10.2016	2.4	351
24.10.2016	6.6	274
25.10.2016	5.7	326
26.10.2016	5	274
27.10.2016	6.2	259
28.10.2016	2.9	39
29.10.2016	5.5	132
30.10.2016	3.7	187
31.10.2016	4.2	195
01.11.2016	5.4	210
02.11.2016	8	251
03.11.2016	3.1	10
04.11.2016	4.4	309
05.11.2016	5	179
06.11.2016	6.6	199
07.11.2016	8.6	252
