year	month	Almaty	Andizhan	Ashbagat	Bairam.ali	Baityk	Chardzhou	Charvak	Dzhizak	Fergana	Kattakurgan	Leninabad	Namangan	Naryn	Osh	Panfilov	Przhevalsk	Rybache	Samarkand	Serahs	Tashkent	Termez
1908	6	73	5	7	0	43.1	2	33.9	40	12	15.2	21	0	26	15	22.7	83	12.6	15	0	8	0
1908	7	15	0	0	0	9.1	0	0.2	0	0	0	0	0	4	0	8.7	46	3.5	0	0	0	0
1908	8	55	1	0	0	28.2	0	4.8	2	1	1.2	4	0	24	1	17.9	74	9.8	1	0	0	0
1908	9	38	6	9	0	28.1	0	10.5	10	7	2	0	3	32	12	9.3	20	7.8	0	0	0	0
1908	10	89	13	12	10	44.3	3	58.6	45	22	19.8	11	13	13	27	15.2	23	10.4	20	17	32	0
1908	11	76	13	0	3	33.7	0	37.6	27	19	12.1	0	10	12	11	11.5	14	8.3	14	8	22	1
1908	12	29	11	21	19	24.6	8	62.9	40	26	38.9	4	12	2	0	8.2	19	4.6	61	14	44	19
1909	1	19	22	20	21	38.6	28	82.9	86	31	47.1	20.6	12	11	37.8	10.2	21	6.2	48	15	38	21
1909	2	21	29	10	38	35.5	7	72.6	37	29	35.2	16.8	19	6	41.1	7	4	4.9	48	29.8	29	12
1909	3	42	38	36	46	57.3	16	116.8	71	34	62.1	26	11	28	33	13.5	14	10.3	82	43.3	74	38
1909	4	59	37	61	39	51.7	45	75	64	9	57.2	18.2	9	21	45	16.2	34	10.7	73	44.8	39	11
1909	5	62	10	17	0	29.4	3	19.7	19	0	20.2	5.5	0	22	17	11.2	21	8.3	30	5.8	5	29
1909	6	60	5	0	0	47	0	18	1	4	1.3	3.2	5	49	15	22.6	85	14.3	0	0	7	0
1909	7	50	3	24	0	61.6	0	20	0	1	0	3	4.1	75	9	29	118	18.5	3	0	13	0
1909	8	1	0	0	0	3.5	0	0.2	1	0	0	0	0.1	2	0	3.4	20	1.2	0	0	0	0
1909	9	39	0	0	0	27.5	0	2.9	0	2	0	0	1.5	31	2	13.5	50	8.8	0	0	0	0
