Sample ID ICP,Sample ID Logbooks,Date,month,Time,Location,Sample description,Sample type,Country,Coordinate 1,Coordinate 2,T [C],pH,EC [microS/cm],TDS [mg/L],NO+3-N [mg/L]  ,PO3-4-P [mg/L],Fe-Dis [mg/L]  ,Ca [mg/l],Mg [mg/L],Na [mg/l],K [mg/L],Fe-Tot [mg/L],Al [ug/L],As [ug/L],Ba [ug/L],Cd [ug/L],Co [ug/L],Cr [ug/L],Cu [ug/L],Li [ug/L],Mn [ug/L],Ni [ug/L],Pb [ug/L],Sr [ug/L],Zn [ug/L]
51,97,20-08-2019,8,13:30,Kapshagay,Kapshagay,reservoir,KZ,43.79377,77.14736,24,8.5,470,230,1.16,0.007,0.01,46,17.8,42.6,2.6,0,6.8,5.5,45.7,0.4,0.1,0.7,2.2,8.6,9.52,0.64,1.43,470.15,2.59
84,3,17-05-2019,5,,BAL,UA101,reservoir,KZ,43.05687,76.98622,5,8.2,130,60,0.543,0.005,,23.9,2.4,3,0.8,0,4.48,,62.48,0.8,0.11,0.21,0.12,1.05,4.03,,1.73,136.48,0.86
85,4,17-05-2019,5,,FPP,UA102,streamwater,KZ,43.19164,76.89008,6,8.2,190,90,0.777,0.003,,30.2,3.4,4.9,1.3,0,1.43,,29.41,0.81,0.01,0.21,1.41,2.35,2.1,,2.75,129.93,1.15
86,5,17-05-2019,5,,Darhan,UA103,streamwater,KZ,43.31162,76.86975,10,8,340,170,1.63,0.003,0,45.6,5.2,16.6,1.6,0,2.68,1.43,40.25,0.84,0.12,0.1,0.08,4.26,9.13,,1.59,346.11,1.69
87,6,17-05-2019,5,,Kazcik,UA104,streamwater,KZ,43.39003,76.88078,17,8.1,440,220,0.95,0,0.01,67.7,19.6,34.4,3.7,0,4.42,0.15,172.75,1.04,0.11,,,8.28,537.11,,2.69,554.87,1.25
88,7,17-05-2019,5,,Kosozen (UA),UA105,streamwater,KZ,43.56118,76.90803,19,8.4,650,320,3.81,0.005,0.12,69.6,22.6,38.2,3.2,0,5.69,2.4,66.64,1.65,0.07,0.82,,9.93,1.01,0.05,1.61,686.41,0.89
89,8,17-05-2019,5,,Kosozen (Kas),Kas106,streamwater,KZ,43.56196,76.89783,17,8.4,750,370,2.07,0.032,0,68,27.1,58.6,2.6,0,4.32,3.04,47.84,1.21,0.1,2.81,0.12,11.62,4.61,,1.4,674.93,0.58
90,9,17-05-2019,5,,Kapshagay,Kapshagay,reservoir,KZ,43.79377,77.14736,23,8,960,470,0.156,0.002,0.03,80.9,33.1,89.7,5.4,0.01,4.95,5.18,53.22,0.95,0.16,0.01,0.22,17.46,29.81,,1.06,890.98,0.89
91,10,17-05-2019,5,,Arna village,Kas107,streamwater,KZ,43.7784,77.13354,21,8.4,670,330,2.67,0.035,0,69.1,26.7,66.7,2.8,0,5.13,0.72,49.99,0.71,0.14,2.98,,12.03,18.9,,0.68,748.11,0.12
92,11,17-05-2019,5,,AgroBioCenter,G108,groundwater,KZ,43.46581,76.97755,14,8.3,200,100,0.573,0.018,0,20.4,5.5,16.3,1.7,0,0.6,1.31,33.41,0.46,0.09,7.6,0.69,3.14,,,1.13,247.26,0.02
