Sample Nr,Date sampled,Time,Month,Location,Country,Sample description,Sample type,Coordinate 1,Coordinate 2,T [C],pH,EC [microS/cm],TDS    [mg/L],NO+3-N [mg/L]  ,PO3-4-P [mg/L],Fe [mg/L]  
107,03-09-19,13:33,9,Arna village,KZ,Kas107,streamwater,43.7784,77.13354,22,8.4,580,280,1.9,0.017,0.02
108,03-09-19,14:36,9,AgroBioCenter,KZ,G108,groundwater,43.47,76.97755,14,8.3,210,100,0.68,0.025,0.02
109,16-09-19,12:51,9,upstream of Almaty city,KZ,KA101,streamwater,43.17401,77.01527,9,8.2,190,90,0.9,0.013,0.01
110,16-09-19,13:17,9,"city, Makataeva-Kopernika str. Crossing",KZ,KA102,streamwater,43.25161,76.95948,11,8.4,210,100,0.94,0.018,0.03
111,16-09-19,14:03,9,Otegen Batyr village,KZ,KA103,streamwater,43.4063,77.01521,17,8.3,650,320,3.45,0.025,0.01
112,17-09-19,07:23,9,BAL,KZ,UA101,reservoir,43.05687,76.98622,7,8.1,130,60,0.68,0.012,0.02
113,17-09-19,08:20,9,FPP,KZ,UA102,streamwater,43.19164,76.89008,8,8.1,170,80,0.76,0.011,0.02
114,17-09-19,09:15,9,Darhan,KZ,UA103,streamwater,43.31162,76.86975,13,8.1,200,100,1.08,0.017,0.02
115,17-09-19,09:52,9,Kazcik,KZ,UA104,streamwater,43.39003,76.88078,14,8,260,130,1.21,0.016,0.02
116,17-09-19,10:48,9,Kosozen (UA),KZ,UA105,streamwater,43.56118,76.90803,16,8.2,430,210,2.45,0.007,0.01
117,17-09-19,11:03,9,Kaskelen (Kas),KZ,Kas106,streamwater,43.56196,76.89783,16,8.3,620,310,1.56,0.016,0.01
118,17-09-19,12:20,9,Arna village,KZ,Kas107,streamwater,43.7784,77.13354,18,8,490,240,1.88,0.033,0.02
119,17-09-19,13:08,9,AgroBioCenter,KZ,G108,groundwater,43.47,76.97755,14,8.2,180,90,0.97,0.028,0.01
