Sample Nr,Date sampled,Time,Month,Location,Sample description,Sample type,Coordinate 1,Coordinate 2,T [C],pH,EC [microS/cm],TDS    [mg/L],NO+3-N [mg/L]  ,PO3-4-P [mg/L],Fe [mg/L]  
107,03-09-2019,13:33,9,Arna village,Kas107,streamwater,43.7784,77.13354,22,8.4,580,280,1.9,0.017,0.02
108,03-09-2019,14:36,9,AgroBioCenter,G108,groundwater,43.47,76.97755,14,8.3,210,100,0.68,0.025,0.02
109,16-09-2019,12:51,9,upstream of Almaty city,KA101,streamwater,43.17401,77.01527,9,8.2,190,90,0.9,0.013,0.01
110,16-09-2019,13:17,9,"city, Makataeva-Kopernika str. Crossing",KA102,streamwater,43.25161,76.95948,11,8.4,210,100,0.94,0.018,0.03
111,16-09-2019,14:03,9,Otegen Batyr village,KA103,streamwater,43.4063,77.01521,17,8.3,650,320,3.45,0.025,0.01
112,17-09-2019,07:23,9,BAL,UA101,reservoir,43.05687,76.98622,7,8.1,130,60,0.68,0.012,0.02
113,17-09-2019,08:20,9,FPP,UA102,streamwater,43.19164,76.89008,8,8.1,170,80,0.76,0.011,0.02
114,17-09-2019,09:15,9,Darhan,UA103,streamwater,43.31162,76.86975,13,8.1,200,100,1.08,0.017,0.02
115,17-09-2019,09:52,9,Kazcik,UA104,streamwater,43.39003,76.88078,14,8,260,130,1.21,0.016,0.02
116,17-09-2019,10:48,9,Kosozen (UA),UA105,streamwater,43.56118,76.90803,16,8.2,430,210,2.45,0.007,0.01
117,17-09-2019,11:03,9,Kaskelen (Kas),Kas106,streamwater,43.56196,76.89783,16,8.3,620,310,1.56,0.016,0.01
118,17-09-2019,12:20,9,Arna village,Kas107,streamwater,43.7784,77.13354,18,8,490,240,1.88,0.033,0.02
119,17-09-2019,13:08,9,AgroBioCenter,G108,groundwater,43.47,76.97755,14,8.2,180,90,0.97,0.028,0.01
120,01-10-2019,06:40,10,BAL,UA101,reservoir,43.05687,76.98622,6,8.1,130,60,0.57,0,0.01
121,01-10-2019,08:00,10,FPP,UA102,streamwater,43.19164,76.89008,10,7.9,310,150,0.2,0.004,0.02
122,01-10-2019,09:00,10,Darhan,UA103,streamwater,43.31162,76.86975,11,8,210,100,0.74,0.001,0.02
123,01-10-2019,09:45,10,Kazcik,UA104,streamwater,43.39003,76.88078,11,7.6,240,120,0.81,0.005,0.02
124,01-10-2019,10:42,10,Kosozen (UA),UA105,streamwater,43.56118,76.90803,12,8.1,440,220,2.79,0.004,0.01
125,01-10-2019,11:05,10,Kaskelen (Kas),Kas106,streamwater,43.56196,76.89783,13,8.3,620,310,1.4,0,0.02
126,01-10-2019,12:15,10,Arna village,Kas107,streamwater,43.7784,77.13354,13,8.2,660,330,2.12,0.019,0.01
127,01-10-2019,13:10,10,AgroBioCenter,G108,groundwater,43.47,76.97755,13,8.2,210,100,0.78,0.015,0.01
128,01-10-2019,14:33,10,upstream of Almaty city,KA101,streamwater,43.17401,77.01527,7,8.1,200,100,0.83,0.007,0.01
129,01-10-2019,15:05,10,"city, Makataeva-Kopernika str. Crossing",KA102,streamwater,43.25161,76.95948,8,8.2,240,110,0.92,0.003,0.02
130,01-10-2019,15:50,10,Otegen Batyr village,KA103,streamwater,43.4063,77.01521,12,8.3,640,320,3.23,0.009,0.02
