Sample ID ICP,Date,month,Time,Location,Sample description,Sample type,Country,Period,T [C],pH,EC [microS/cm],TDS [mg/L],NO+3-N [mg/L]  ,PO3-4-P [mg/L],Fe-Dis [mg/L]  ,Ca [mg/l],Mg [mg/l],Na [mg/l],K [mg/L],Fe-Tot [mg/L],Al [ug/L],As [ug/L],Ba [ug/L],Cd [ug/L],Co [ug/L],Cr [ug/L],Cu [ug/L],Li [ug/L],Mn [ug/L],Ni [ug/L],Pb [ug/L],Sr [ug/L],Zn [ug/L]
100,28-10-19,10,10:25,Kazcik,UA104,streamwater,KZ,LF,7,8,400,190,1.86,0.015,0.009,53.2,8.8,18.7,2.2,0,,2.05,58.57,,,0.37,,4.95,70.91,3.17,0.37,373.6,0.78
93,29-10-19,10,11:05,upstream of Almaty city,KA101,streamwater,KZ,LF,3,8.1,210,100,0.886,0.01,0.006,33.5,3.6,5,0.9,0,5.5,,8.62,0.23,,0.31,,1.69,1.09,1.88,0.14,123.59,0.42
126,23-10-19,10,11:06,Luchob river,"LU3, streamflow",streamwater,TJ,LF,14,8.3,260,130,0.711,0.019,0.1,43.9,6.6,8.2,1.3,0,9.01,,60.34,,0.04,0.18,,4.75,4.44,0.2,1.97,399.15,0.3
101,28-10-19,10,11:20,Kosozen (UA),UA105,streamwater,KZ,LF,8,8.2,500,240,2.99,0.015,0.006,59.3,14.3,26.6,2.4,0.01,5.71,1.62,65.63,,,0.47,,6.87,1.15,3.53,0.03,510.08,0.43
102,28-10-19,10,11:37,Kaskelen (Kas),Kas106,streamwater,KZ,LF,9,8.3,600,300,1.84,0.014,0.009,65.5,20.8,39.3,2.2,0,3.32,,38.46,,,1.13,,9.59,5.93,1.82,,501.99,0.12
94,29-10-19,10,11:41,"city, Makataeva-Kopernika str. crossing",KA102,streamwater,KZ,LF,5,8.2,250,120,1.01,0.012,0.01,40.4,5.1,6.2,1,0.02,5.62,,10.9,0.09,,0.52,,2.13,1.59,2.45,0.89,163.41,1.67
128,23-10-19,10,12:30,"South-East water uptake,  drinking water facility","GWP4, groundwater",groundwater,TJ,LF,17,7.2,650,320,6.13,0.019,0.1,115.8,16.7,17.9,2.1,0,3.61,,76.83,,0.2,3.13,0.47,4.59,0.17,0.75,2.18,500.93,1.43
95,29-10-19,10,12:37,Otegen Batyr village,KA103,streamwater,KZ,LF,8,8.4,730,360,3.94,0.033,0.012,78.3,29.6,43.1,2.7,0.01,6.8,0.82,40.58,0.5,,2.26,,15.76,10.57,1.13,0.64,771.67,0.82
103,28-10-19,10,12:55,Arna village,Kas107,streamwater,KZ,LF,10,8.2,690,340,2.42,0.025,0.009,66.7,23.1,49.7,2.7,0,6.79,1.71,47.77,,0.08,1.49,,10.76,14.16,3.21,0.48,630.98,0.29
127,23-10-19,10,13:05,Kafarnigan river,"KF3, streamflow",streamwater,TJ,LF,15,7.5,360,190,2.42,0.029,0.1,58.5,12,6.3,1.6,0,3.25,1.3,53.09,,0.09,0.52,,3.65,2.91,0.61,2.33,364.13,0.7
129,23-10-19,10,13:30,Potable water well,"GWP6, groundwater",groundwater,TJ,LF,19,6.8,890,440,11,0.019,0.16,185.2,18.5,18.8,6.3,0.04,8.96,0.05,146.22,,0,,,4.31,2.26,12.12,1.26,488.74,0.27
104,29-10-19,10,13:38,AgroBioCenter,G108,groundwater,KZ,LF,13,8.2,210,100,0.594,0.021,0.004,22,5.7,16.1,1.7,0,,0.14,30.21,,,6.54,,3.34,0.12,1.71,0.41,259.79,0.31
109,04-10-19,10,14:35,Alplager,streamflow,streamwater,KG,LF,8,7.3,70,30,0.796,0.342,0.071,14.1,0.6,2.7,0.7,0,,,3.24,,0.08,0.21,,1.26,0.18,0.83,,37.35,0.92
110,04-10-19,10,15:12,Radnik,"spring, GW",groundwater,KG,LF,9,8.1,200,100,0.481,1.86,0.07,39.7,4.4,3.3,0.8,0,,9.23,50.54,,,0.22,,2.39,0.08,1.58,0.27,166.39,0.17
111,04-10-19,10,15:37,Baityk,streamflow,streamwater,KG,LF,10,7.8,100,50,0.376,0.741,0.07,19.1,1.4,3.3,0.7,0.01,,,9.12,,,0.35,,1.69,0.22,2.92,,68.17,0.2
112,04-10-19,10,16:20,Zarechnoe,streamflow,streamwater,KG,LF,12,7.6,110,60,0.965,0.323,0.07,22.3,1.8,3.6,0.9,0,7.7,,16.37,,0.08,0.21,,1.99,0.25,0.31,,83.21,0.14
113,04-10-19,10,18:00,Bridge,streamflow,streamwater,KG,LF,15,8.1,330,160,1.96,0.304,0.071,53.8,11.6,12.6,2.3,0.02,2.06,2.38,74.21,0.54,0.33,1.17,,5.26,0.95,12.38,2.83,386.02,5.48
114,04-10-19,10,18:40,Lake,reservoir,reservoir,KG,LF,14,8,360,180,1.9,0.32,0.072,54,11.2,13,2,0,0.12,0.31,66.14,,0.08,0.54,,4.79,0.64,0.87,2.69,383.65,0.78
115,03-11-19,11,12:40,"Pskem river, Mulala gaging station",streamwater,streamwater,UZ,LF,10,8.4,390,190,,,,35,6.4,1.3,0.5,0,5.49,,54.55,,,0.48,,3.24,0.45,,1.27,186.15,0.66
116,02-11-19,11,13:25,"Chircik river, downstream Charvak reserv. Dam",streamwater,streamwater,UZ,LF,16,8.3,240,120,,,,45.6,7.2,2.7,0.7,0,5.78,2.37,126.52,,0.07,0.32,,2.83,0.41,0.78,2.64,194.14,0.3
117,03-11-19,11,13:40,"Spring on left bank of Chirhik, Hodjakent vil.","spring, GW",groundwater,UZ,LF,15,8.3,280,140,,,,47.8,10.7,3.8,0.5,0.02,0.71,2.18,60.34,,,0.83,,4.53,1.06,9.13,2.74,295.27,1.38
118,02-11-19,11,14:25,"Chircik river, downstream Gazalkent town",streamwater,streamwater,UZ,LF,15,8.1,620,310,,,,78.1,21.1,36.9,1.8,0,8.76,0.26,119.92,,,1.5,,6.15,3.5,0.82,2.16,552.18,0.38
119,03-11-19,11,15:00,"Chirhik river, near Chirchik town",streamwater,streamwater,UZ,LF,15,8.2,340,176,,,,48.8,10.6,14.9,1,0.02,,0.59,72.55,,0.05,0.67,,3.54,3.22,5.32,2.41,272.08,0.59
120,03-11-19,11,15:40, Spring  Chirchik river near Tashkent (source),"spring, GW",groundwater,UZ,LF,19,8.1,530,260,,,,67.2,11.2,38.1,2.7,0,6.2,0.51,135.2,,,0.44,,3.44,8.84,1.52,2.13,297.38,0.74
121,03-11-19,11,16:10,"Chirhik river, downstream Tashkent town",streamwater,streamwater,UZ,LF,19,7.9,590,290,,,,100.8,15.9,21,2.3,0,8.19,,142.15,,,5.3,,2.55,30.64,0.18,2.06,387.67,0.47
123,03-11-19,11,17:10,Bore hole near Yangiyul,groundwater,streamwater,UZ,LF,14,7.3,380,180,,,,58.1,10.6,14.7,1,0,5.51,,105.57,,0.08,0.42,,2.69,0.4,1.3,2.36,269.82,0.59
122,03-11-19,11,18:10,Chirchik river near inflow to Syrdarya river,streamwater,streamwater,UZ,LF,19,7.8,1040,520,,,,106.6,35.2,61.5,4.4,0.01,8.35,,86.8,,0.11,0.81,,9.27,46.16,7.33,1.29,906.08,2.09
