Sample_n	Date	Time	Month	Location	Country	Sample description	Sample type	Coordinate 1	Coordinate 2	T [C]	pH	EC [microS/cm]	TDS    [mg/L]	NO+3-N [mg/L]  	PO3-4-P [mg/L]
221	03-02-2020	13:17	2	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	2	8.4	920	450	5.75	0.027
222	04-02-2020	07:55	2	BAL	KZ	UA101	reservoir	43.05687	76.98622	1	8	130	60	0.707	0.008
223	04-02-2020	09:00	2	FPP	KZ	UA102	streamwater	43.19164	76.89008	1	8.3	190	90	1.19	0.01
224	04-02-2020	09:40	2	Darhan	KZ	UA103	streamwater	43.31162	76.86975	2	8.3	420	210	2.14	0.009
225	04-02-2020	10:20	2	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	1	8.4	630	310	5.05	0.016
228	04-02-2020	12:48	2	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	2	8.5	750	370	3.53	0.152
229	04-02-2020	13:50	2	AgroBioCenter	KZ	G108	groundwater	43.47	76.97755	13	8.3	200	90	0.598	0.024
230	17-02-2020	08:15	2	BAL	KZ	UA101	reservoir	43.05687	76.98622	0	8.3	130	60	0.737	0.006
231	17-02-2020	09:51	2	FPP	KZ	UA102	streamwater	43.19164	76.89008	0	8.6	190	90	0.826	0.014
232	17-02-2020	10:33	2	Darhan	KZ	UA103	streamwater	43.31162	76.86975	1	8.4	650	320	3.45	0.011
233	17-02-2020	11:40	2	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	2	8.9	700	350	5.28	0.015
236	17-02-2020	12:40	2	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	3	8.6	690	340	3.18	0.122
237	17-02-2020	13:30	2	AgroBioCenter	KZ	G108	groundwater	43.47	76.97755	13	8.4	190	90	0.576	0.021
238	18-02-2020	11:00	2	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	1	8	260	130	1.1	0.009
240	18-02-2020	11:55	2	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	3	8.1	990	490	5.76	0.065
241	02-03-2020	09:28	3	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	2	8	250	120	1.11	0.011
243	02-03-2020	10:24	3	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	5	8.1	890	440	5.14	0.035
244	03-03-2020	08:03	3	BAL	KZ	UA101	reservoir	43.05687	76.98622	0	8.1	140	70	0.699	0.01
245	03-03-2020	09:17	3	FPP	KZ	UA102	streamwater	43.19164	76.89008	2	8.2	220	110	0.823	0.011
246	03-03-2020	10:00	3	Darhan	KZ	UA103	streamwater	43.31162	76.86975	4	8.1	430	210	1.81	0.009
247	03-03-2020	10:41	3	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	5	8.3	720	360	5.06	0.015
248	03-03-2020	11:35	3	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	7	8.4	800	400	5.46	0.008
249	03-03-2020	11:50	3	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	6	8.4	680	340	2.39	0.221
250	03-03-2020	13:05	3	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	8	8.4	770	380	3.26	0.14
251	03-03-2020	14:10	3	AgroBioCenter	KZ	G108	groundwater	43.47	76.97755	13	8.2	190	90	0.55	0.024
252	16-03-2020	08:18	3	BAL	KZ	UA101	reservoir	43.05687	76.98622	0	7.8	140	60	0.593	0.005
253	16-03-2020	09:45	3	FPP	KZ	UA102	streamwater	43.19164	76.89008	3	7.9	210	100	0.704	0.005
254	16-03-2020	10:30	3	Darhan	KZ	UA103	streamwater	43.31162	76.86975	6	7.8	420	210	2.03	0.003
255	16-03-2020	11:14	3	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	9	8	680	340	3.69	0.007
256	16-03-2020	12:15	3	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	10	8.1	670	330	4.48	0.003
257	16-03-2020	12:33	3	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	9	8.2	670	330	2.23	0.048
258	16-03-2020	14:15	3	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	12	8.2	790	390	3	0.077
259	16-03-2020	15:10	3	AgroBioCenter	KZ	G108	groundwater	43.47	76.97755	14	8	200	100	0.514	0.016
260	16-03-2020	13:50	3	Kapshagay	KZ	Kapshagay	reservoir	43.79377	77.14736	10	8.2	760	380	0.22	0.005
261	17-03-2020	10:47	3	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	0.3	7.9	290	140	1.06	0.008
263	17-03-2020	11:49	3	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	9	8.3	890	440	4.67	0.019
264	25-05-2020	08:15	5	BAL	KZ	UA101	reservoir	43.05687	76.98622	9	8	220	110	0.578	0.004
265	25-05-2020	09:45	5	FPP	KZ	UA102	streamwater	43.19164	76.89008	10	7.8	150	70	0.601	0.009
266	25-05-2020	10:55	5	Darhan	KZ	UA103	streamwater	43.31162	76.86975	16	7.8	260	130	1.24	0.009
267	25-05-2020	12:10	5	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	20	7.8	390	190	1.88	0.023
268	25-05-2020	13:20	5	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	26	8.1	660	330	3.42	0.01
269	25-05-2020	13:50	5	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	23	8	730	360	1.94	0.034
270	25-05-2020	15:40	5	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	26	7.8	720	350	2.4	0.036
271	25-05-2020	16:55	5	AgroBioCenter	KZ	G108	groundwater	43.47	76.97755	13	8	170	80	0.564	0.02
272	25-05-2020	15:15	5	Kapshagay	KZ	Kapshagay	reservoir	43.79377	77.14736	26	8.4	720	360	0.032	0.01
273	26-05-2020	11:37	5	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	13	7.9	180	90	0.91	0.01
274	26-05-2020	12:00	5	"city, Makataeva-Kopernika str. Crossing"	KZ	KA102	streamwater	43.25161	76.95948	16	8	230	110	0.851	0.016
275	26-05-2020	13:00	5	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	22	8.1	660	320	4.33	1.66
276	09-06-2020	06:55	6	BAL	KZ	UA101	reservoir	43.05687	76.98622	8	7.9	180	90	0.586	0.006
277	09-06-2020	07:47	6	FPP	KZ	UA102	streamwater	43.19164	76.89008	9	7.7	150	70	0.648	0.006
278	09-06-2020	08:24	6	Darhan	KZ	UA103	streamwater	43.31162	76.86975	13	7.8	750	350	3.15	0.014
279	09-06-2020	09:00	6	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	17	7.8	650	320	1.62	0.033
280	09-06-2020	10:00	6	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	17	8.1	660	330	3.65	0.014
281	09-06-2020	10:10	6	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	17	8.1	670	330	1.95	0.035
282	09-06-2020	11:40	6	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	17	8.1	720	350	2.45	0.032
283	09-06-2020	12:45	6	AgroBioCenter	KZ	G108	groundwater	43.47	76.97755	14	7.8	190	90	0.591	0.022
284	10-06-2020	10:35	6	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	9	8	180	90	1.12	0.008
285	10-06-2020	11:00	6	"city, Makataeva-Kopernika str. Crossing"	KZ	KA102	streamwater	43.25161	76.95948	14	8	210	100	0.903	0.009
286	10-06-2020	11:42	6	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	17	8.1	680	330	3.96	0.022
287	22-06-2020	10:43	6	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	10	7.7	190	90	0.84	0.007
288	22-06-2020	11:07	6	"city, Makataeva-Kopernika str. Crossing"	KZ	KA102	streamwater	43.25161	76.95948	15	8.1	210	100	0.941	0.012
289	22-06-2020	11:51	6	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	18	8.1	650	320	3.84	0.017
290	23-06-2020	06:02	6	BAL	KZ	UA101	reservoir	43.05687	76.98622	10	7.8	130	60	0.544	0.005
291	23-06-2020	07:30	6	FPP	KZ	UA102	streamwater	43.19164	76.89008	19	7.7	170	80	0.336	0.013
292	23-06-2020	08:13	6	Darhan	KZ	UA103	streamwater	43.31162	76.86975	18	7.8	340	170	1.34	0.007
293	23-06-2020	08:50	6	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	19	7.8	520	250	2.07	0.02
294	23-06-2020	09:42	6	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	20	8.1	900	450	4.36	0.019
295	23-06-2020	10:00	6	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	19	8.2	690	340	1.97	0.011
296	23-06-2020	11:05	6	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	20	8.1	750	170	2.26	0.024
297	23-06-2020	11:55	6	AgroBioCenter	KZ	G108	groundwater	43.47	76.97755	13	8	160	80	0.542	0.024
298	06-07-2020	06:40	7	BAL	KZ	UA101	reservoir	43.05687	76.98622	8	7.8	120	60	0.656	0.005
299	06-07-2020	07:40	7	FPP	KZ	UA102	streamwater	43.19164	76.89008	9	7.7	150	70	0.646	0.006
300	06-07-2020	08:20	7	Darhan	KZ	UA103	streamwater	43.31162	76.86975	16	7.7	310	150	1.29	0.009
301	06-07-2020	08:55	7	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	18	7.8	510	250	1.91	0.022
302	06-07-2020	09:50	7	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	21	8.2	1280	640	3.12	0.013
303	06-07-2020	10:02	7	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	19	8.3	700	340	1.94	0.012
304	06-07-2020	11:07	7	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	22	8.1	680	340	2.39	0.015
305	06-07-2020	12:02	7	AgroBioCenter	KZ	G108	groundwater	43.47	76.97755	14	7.8	170	80	0.552	0.024
306	07-07-2020	09:31	7	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	9	7.9	170	80	0.914	0.012
307	07-07-2020	09:55	7	"city, Makataeva-Kopernika str. Crossing"	KZ	KA102	streamwater	43.25161	76.95948	15	7.9	200	100	0.888	0.011
308	07-07-2020	10:40	7	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	17	8.1	560	280	3.69	0.025
309	27-07-2020	09:30	7	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	10	7.8	160	80	0.803	0.015
310	27-07-2020	10:00	7	"city, Makataeva-Kopernika str. Crossing"	KZ	KA102	streamwater	43.25161	76.95948	20	7.6	150	70	1.08	0.129
311	27-07-2020	11:00	7	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	19	8	750	370	3.81	0.034
314	28-07-2020	06:21	7	BAL	KZ	UA101	reservoir	43.05687	76.98622	9	7.7	130	60	0.63	0.007
315	28-07-2020	07:21	7	FPP	KZ	UA102	streamwater	43.19164	76.89008	9	7.6	150	70	0.686	0.012
316	28-07-2020	08:02	7	Darhan	KZ	UA103	streamwater	43.31162	76.86975	14	7.8	260	130	1.25	0.006
317	28-07-2020	08:40	7	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	18	7.8	530	260	1.72	0.019
318	28-07-2020	09:40	7	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	21	8.2	1530	760	2.99	0.011
319	28-07-2020	10:04	7	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	21	8.1	600	300	1.62	0.017
320	28-07-2020	11:30	7	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	23	8.2	800	400	2.17	0.02
321	28-07-2020	11:11	7	Kapshagay	KZ	Kapshagay	reservoir	43.79377	77.14736	26	9	790	390	0.099	0.002
322	28-07-2020		7	AgroBioCenter	KZ	G108	groundwater	43.47	76.97755						
323	20-08-2020	10:10	8	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	9	7.9	160	80	0.73	0.009
324	20-08-2020		8	"city, Makataeva-Kopernika str. Crossing"	KZ	KA102	streamwater	43.25161	76.95948						
325	20-08-2020	11:17	8	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	18	8	590	290	3	0.02
326	21-08-2020	06:45	8	BAL	KZ	UA101	reservoir	43.05687	76.98622	9	8	130	60	0.621	0.014
327	21-08-2020	07:35	8	FPP	KZ	UA102	streamwater	43.19164	76.89008	9	7.6	150	70	0.633	0.008
328	21-08-2020	09:25	8	Darhan	KZ	UA103	streamwater	43.31162	76.86975	17	7.9	180	90	0.691	0.003
329	21-08-2020	10:08	8	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	17	7.9	370	180	1.19	0.009
330	21-08-2020	11:04	8	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	22	8.3	1210	600	2.34	0.011
331	21-08-2020	11:20	8	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	20	8.3	560	280	1.63	0.013
332	21-08-2020	12:28	8	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	22	8.2	700	350	2.06	0.014
333	21-08-2020	12:35	8	AgroBioCenter	KZ	G108	groundwater	43.47	76.97755	22	7.8	190	90	0.533	0.025
350	07-09-2020	12:20	9	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	9	7.6	160	80	0.899	0.007
351	08-09-2020	13:15	9	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	18	8.1	560	280	3.08	0.022
352	08-09-2020	07:55	9	BAL	KZ	UA101	reservoir	43.05687	76.98622	9	8	130	60	0.654	0.001
353	08-09-2020	08:43	9	FPP	KZ	UA102	streamwater	43.19164	76.89008	7	7.8	160	80	0.667	0.01
354	08-09-2020	09:17	9	Darhan	KZ	UA103	streamwater	43.31162	76.86975	11	7.8	230	110	0.855	0.01
355	08-09-2020	09:55	9	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	13	7.8	280	140	1.04	0.005
356	08-09-2020	10:50	9	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	15	8.1	540	270	2.76	0.007
357	08-09-2020	11:07	9	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	16	8.3	620	310	1.43	0.01
358	08-09-2020	12:05	9	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	17	8.3	680	340	1.98	0.002
359	08-09-2020	13:07	9	AgroBioCenter	KZ	G108	groundwater	43.47	76.97755	14	7.8	200	100	0.573	0.016
360	22-09-2020	12:20	9	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	9	8	150	70	0.855	0.001
362	22-09-2020	13:15	9	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	15	8.2	540	270	3.04	0.006
363	23-09-2020	07:55	9	BAL	KZ	UA101	reservoir	43.05687	76.98622	7	8.2	130	60	0.593	0
364	23-09-2020	08:43	9	FPP	KZ	UA102	streamwater	43.19164	76.89008	7	8.2	190	90	0.706	0
365	23-09-2020	09:25	9	Darhan	KZ	UA103	streamwater	43.31162	76.86975	9	8	260	130	1.24	0.005
366	23-09-2020	10:00	9	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	13	8.1	300	160	1.23	0
367	23-09-2020	10:50	9	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	13	8.2	470	230	2.4	0.004
368	23-09-2020	11:05	9	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	15	8.4	730	360	1.57	0
369	23-09-2020	12:12	9	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	15	8.3	720	360	2.02	0.01
370	23-09-2020	12:55	9	AgroBioCenter	KZ	G108	groundwater	43.47	76.97755	13	8.1	200	100	0.569	0.011
371	08-10-2020	07:05	10	BAL	KZ	UA101	reservoir	43.05687	76.98622	5	8	110	50	0.633	0
372	08-10-2020	08:00	10	FPP	KZ	UA102	streamwater	43.19164	76.89008	3	7.7	160	80	0.711	0
373	08-10-2020	08:48	10	Darhan	KZ	UA103	streamwater	43.31162	76.86975	4	7.8	300	140	1.15	0
374	08-10-2020	09:23	10	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	8	8	310	150	1.43	0
375	08-10-2020	10:22	10	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	6	8.2	470	230	2.46	0
376	08-10-2020	10:30	10	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	9	8.2	630	310	1.46	0
1	19-06-2019	13:10	6	Alplager	KG	streamflow	streamwater	42.565388	74.479548	11	7.2	50	20	0.8	0.003
2	19-06-2019	14:55	6	Baityk	KG	streamflow	streamwater	42.630273	74.491362	12	7.8	100	50	0.86	0
3	19-06-2019	15:37	6	Zarechnoe	KG	streamflow	streamwater	42.647609	74.495405	21	8.1	16	70	0.82	0.014
4	19-06-2019	16:48	6	Bridge	KG	streamflow	streamwater	42.758631	74.571057	23	8.2	790	390	4.01	0.122
5	19-06-2019	17:21	6	Lake	KG	reservoir	reservoir	42.971494	74.602249	26	8.5	410	200		
6	05-07-2019	13:15	7	Alplager	KG	streamflow	streamwater	42.565388	74.479548	11	7.3	40	20	0.38	0.009
7	05-07-2019	13:29	7	Radnik	KG	"spring, GW"	groundwater	42.630273	74.491362	14	8.1	180	90	0.68	0.017
8	05-07-2019	14:30	7	Baityk	KG	streamflow	streamwater	42.647609	74.495405	14	7.5	50	20	0.71	0.007
9	05-07-2019	15:45	7	Zarechnoe	KG	streamflow	streamwater	42.758631	74.571057	18	7.8	90	40	2.46	0.004
10	05-07-2019	18:20	7	Bridge	KG	streamflow	streamwater	42.950108	74.592261	25	8	740	370	3.63	0.092
11	05-07-2019	18:56	7	Lake	KG	reservoir	reservoir	42.971494	74.602249	29	8.2	540	270	0.39	0.022
12	16-07-2019	11:11	7	Alplager	KG	streamflow	streamwater	42.565388	74.479548	10	7.2	30	10	0.63	0.063
13	16-07-2019	11:35	7	Baityk	KG	streamflow	streamwater	42.630273	74.491362	10	7.4	50	20	0.78	0.05
14	16-07-2019	12:40	7	Zarechnoe	KG	streamflow	streamwater	42.647609	74.495405	18	7.6	100	50	0.75	0.049
15	16-07-2019	14:30	7	Bridge	KG	streamflow	streamwater	42.758631	74.571057	27	8.2	720	360	3.38	0.206
16	05-08-2019	14:30	8	Alplager	KG	streamflow	streamwater	42.565388	74.479548	11	7.3	40	20	0.55	0.013
17	05-08-2019	15:00	8	Radnik	KG	"spring, GW"	groundwater	42.630273	74.491362	16	8.1	200	100	0.69	0.011
18	05-08-2019	15:15	8	Baityk	KG	streamflow	streamwater	42.647609	74.495405	13	7.6	50	20	0.83	0.008
19	05-08-2019	16:40	8	Zarechnoe	KG	streamflow	streamwater	42.758631	74.571057	19	7.7	90	40	0.58	0.012
20	05-08-2019	17:30	8	Bridge	KG	streamflow	streamwater	42.950108	74.592261	25	7.8	550	270	0.87	0.107
21	05-08-2019	18:00	8	Lake	KG	reservoir	reservoir	42.971494	74.602249	26	7.4	690	340	3.12	0.024
22	16-08-2019	14:35	8	Alplager	KG	streamflow	streamwater	42.565388	74.479548	7	7.1	50	20	0.56	0.014
23	16-08-2019	14:55	8	Baityk	KG	streamflow	streamwater	42.630273	74.491362	9	7.2	50	20	0.59	0.01
24	16-08-2019	15:35	8	Zarechnoe	KG	streamflow	streamwater	42.647609	74.495405	13	7.5	80	40	0.64	0.013
25	16-08-2019	16:04	8	Bridge	KG	streamflow	streamwater	42.758631	74.571057	20	8.1	520	250	2.83	0.104
26	16-08-2019	19:16	8	well	KG	groundwater	groundwater			13	7.3	680	330	11.2	0.017
30	04-09-2019	10:05	9	Alplager	KG	streamflow	streamwater	42.565388	74.479548	6	7.1	50	20	0.43	0.023
31	04-09-2019	10:26	9	Radnik	KG	"spring, GW"	groundwater	42.630273	74.491362	9	7.9	210	100	0.57	0.006
32	04-09-2019	10:37	9	Baityk	KG	streamflow	streamwater	42.647609	74.495405	7	7.4	70	30	0.57	0.005
33	04-09-2019	11:00	9	Zarechnoe	KG	streamflow	streamwater	42.758631	74.571057	13	7.6	110	50	0.57	0.006
34	04-09-2019	12:18	9	Bridge	KG	streamflow	streamwater	42.950108	74.592261	18	7.9	700	340	2.67	0.123
35	04-09-2019	12:40	9	Lake	KG	reservoir	reservoir	42.971494	74.602249	18	7.5	720	350	1.41	0.201
36	18-09-2019	13:55	9	Alplager	KG	streamflow	streamwater	42.565388	74.479548	11	7.7	60	30	0.73	0.003
37	18-09-2019	13:00	9	Baityk	KG	streamflow	streamwater	42.630273	74.491362	12	7.9	90	40	0.71	0.006
38	18-09-2019	15:30	9	Zarechnoe	KG	streamflow	streamwater	42.647609	74.495405	19	8.1	140	70	0.69	0.006
39	18-09-2019	17:00	9	Bridge	KG	streamflow	streamwater	42.758631	74.571057	19	8.1	340	170	1.81	0.029
40	18-09-2019	17:30	9	well	KG	groundwater	groundwater			13	7.3	630	310	11.2	0.098
41	04-10-2019	14:35	10	Alplager	KG	streamflow	streamwater	42.565388	74.479548	8	7.3	70	30	0.8	0.342
42	04-10-2019	15:12	10	Radnik	KG	"spring, GW"	groundwater	42.630273	74.491362	9	8.1	200	100	0.48	1.86
43	04-10-2019	15:37	10	Baityk	KG	streamflow	streamwater	42.647609	74.495405	10	7.8	100	50	0.38	0.741
44	04-10-2019	16:20	10	Zarechnoe	KG	streamflow	streamwater	42.758631	74.571057	12	7.6	110	60	0.97	0.323
45	04-10-2019	18:00	10	Bridge	KG	streamflow	streamwater	42.950108	74.592261	15	8.1	330	160	1.96	0.304
46	04-10-2019	18:40	10	Lake	KG	reservoir	reservoir	42.971494	74.602249	14	8	360	180	1.9	0.32
47	17-10-2019	11:42	10	Alplager	KG	streamflow	streamwater	 42.565388?	 74.479548?	5	7.6	70	30	0.552	0.008
48	17-10-2019	12:13	10	Baityk	KG	streamflow	streamwater	 42.647609?	 74.495405?	6	7.6	120	50	0.38	0.517
49	17-10-2019	12:53	10	Zarechnoe	KG	streamflow	streamwater	 42.758631?	 74.571057?	10	7.7	130	60	0.511	0.257
50	17-10-2019	15:15	10	Bridge	KG	streamflow	reservoir	 42.950108?	 74.592261?	14	8.1	320	160	1.61	0.244
51	01-11-2019	12:00	11	Alplager	KG	streamflow	streamflow	42.565388	74.479548	7	8.3	190	90	0.051	0.003
52	01-11-2019	12:20	11	Radnik	KG	growndwater	growndwater	42.630273	74.491362	6	8.1	220	110	0.808	0.016
53	01-11-2019	12:37	11	Baityk	KG	streamflow	streamflow	42.647609	74.495405	8	8	120	60	0.524	0.559
54	01-11-2019	13:05	11	Zarechnoe	KG	streamflow	streamflow	42.758631	74.571057	11	7.8	150	70	0.041	0.012
55	01-11-2019	14:25	11	Bridge	KG	streamflow	streamflow	42.950108	74.592261	14	8.2	360	180	0.782	0.334
56	01-11-2019	15:10	11	Lake	KG	reservoir	reservoir	42.971494	74.602249	18	8.5	630	360	1.86	0.39
57	18-11-2019	16:00	11	Alplager	KG	streamflow	streamflow	42.565388	74.479548	5	8.3	80	40	0.732	0.869
58	18-11-2019	16:25	11	Baityk	KG	streamflow	streamflow	42.647609	74.495405	4	7.7	140	60	0.094	0.023
59	18-11-2019	17:10	11	Zarechnoe	KG	streamflow	streamflow	42.758631	74.571057	5	7.8	170	80	0.043	0.019
60	18-11-2019	14:10	11	Bridge	KG	streamflow	streamflow	42.950108	74.592261	9	7.7	360	180	0.099	0.178
61	06-12-2019	14:00	12	Alplager	KG	streamflow	streamflow	42.565388	74.479548	7	7.5	60	30	0.142	0.068
62	06-12-2019	14:30	12	Radnik	KG	growndwater	growndwater	42.630273	74.491362	4	8.1	200	100	0.082	0.33
63	06-12-2019	14:45	12	Baityk	KG	streamflow	streamflow	42.647609	74.495405	5	7.8	140	70	0.82	0.223
64	06-12-2019	15:05	12	Zarechnoe	KG	streamflow	streamflow	42.758631	74.571057	5	7.8	150	70	0.09	0.24
65	06-12-2019	12:50	12	Bridge	KG	streamflow	streamflow	42.950108	74.592261	10	8	520	260	1.99	1.93
67	19-12-2019	14:20	12	Alplager	KG	streamflow	streamflow	42.565388	74.479548	3	7	80	40	0.886	0.019
68	19-12-2019	14:50	12	Baityk	KG	streamflow	streamflow	42.647609	74.495405	2	7.2	150	70	0.973	0.008
69	19-12-2019	15:20	12	Zarechnoe	KG	streamflow	streamflow	42.758631	74.571057	1	7.3	160	80	0.993	0.026
70	19-12-2019	16:10	12	Bridge	KG	streamflow	streamflow	42.950108	74.592261	5	7.9	400	200	1	0.044
71	10-01-2020	14:30	1	Radnik	KG	growndwater	growndwater	42.630273	74.491362	3	8.1	230	110	0.204	1.72
72	10-01-2020	14:50	1	Baityk	KG	streamflow	streamflow	42.647609	74.495405	3	7.7	280	140	0.234	0.361
73	10-01-2020	15:05	1	Zarechnoe	KG	streamflow	streamflow	42.758631	74.571057	1	7.9	220	110	0.682	0.065
74	10-01-2020	10:00	1	Bridge	KG	streamflow	streamflow	42.950108	74.592261	5	8.2	600	300	1.65	0.095
75	16-01-2020	13:30	1	Baityk	KG	streamflow	streamflow	42.647609	74.495405	3	8	140	70	0.006	0.295
76	16-01-2020	13:35	1	Zarechnoe	KG	streamflow	streamflow	42.758631	74.571057	1	7.8	160	80	0	0.272
77	16-01-2020	15:30	1	Bridge	KG	streamflow	streamflow	42.950108	74.592261	5	8.1	420	210	0.04	0.001
78	06-02-2020	12:45	2	Alplager	KG	streamflow	streamflow	42.565388	74.479548	4	7.5	70	30	1.12	0.023
79	06-02-2020	12:25	2	Radnik	KG	growndwater	growndwater	42.630273	74.491362	3	7.9	200	100	0.895	0.024
80	06-02-2020	12:10	2	Baityk	KG	streamflow	streamflow	42.647609	74.495405	4	7.9	120	60	1.18	0.025
81	06-02-2020	13:20	2	Zarechnoe	KG	streamflow	streamflow	42.758631	74.571057	2	7.5	150	70	0.928	0.005
82	06-02-2020	14:25	2	Bridge	KG	streamflow	streamflow	42.950108	74.592261	7	8.3	490	240	2.67	0.028
83	18-02-2020	14:30	2	Baityk	KG	streamflow	streamflow	42.647609	74.495405	3	7.8	130	60	0.835	0.012
84	18-02-2020	15:05	2	Zarechnoe	KG	streamflow	streamflow	42.758631	74.571057	2	7.7	150	70	0.146	0.008
85	18-02-2020	16:10	2	Bridge	KG	streamflow	streamflow	42.950108	74.592261	5	8.1	540	260	2.82	0.061
86	05-03-2020	12:50	3	Alplager	KG	streamflow	streamflow	42.565388	74.479548	8	7.8	150	70	0.699	0.11
87	05-03-2020	13:10	3	Radnik	KG	growndwater	growndwater	42.630273	74.491362	3	8.1	240	120	0.896	0.025
88	05-03-2020	13:30	3	Baityk	KG	streamflow	streamflow	42.647609	74.495405	4	8	150	70	0.898	0.008
89	05-03-2020	14:00	3	Zarechnoe	KG	streamflow	streamflow	42.758631	74.571057	7	8	170	80	0.89	0.013
90	05-03-2020	15:20	3	Bridge	KG	streamflow	streamflow	42.950108	74.592261	11	8	590	290	3.36	0.086
91	19-03-2020	12:20	3	Alplager	KG	streamflow	streamflow	42.565388	74.479548	7	7.5	100	40	0.767	0.567
92	19-03-2020	11:50	3	Baityk	KG	streamflow	streamflow	42.647609	74.495405	8	7.9	150	70	0.95	0.437
93	19-03-2020	13:10	3	Zarechnoe	KG	streamflow	streamflow	42.758631	74.571057	13	7.7	170	80	0.926	0.126
94	19-03-2020	14:10	3	Bridge	KG	streamflow	streamflow	42.950108	74.592261	18	8.1	490	240	2.54	3.01
95	05-06-2020	15:30	6	Alplager	KG	streamflow	streamflow	42.565388	74.479548	13	8	60	30	1.23	0.701
96	05-06-2020	15:45	6	Radnik	KG	growndwater	growndwater	42.630273	74.491362	16	7.9	170	80	0.795	0.098
